name,date,amount,categories
Recording,Tue Feb 04 08:42:51 UTC 2014,1.0,Music
Recording,Tue Feb 04 08:42:47 UTC 2014,2.0,Music
Editing,Tue Feb 04 08:42:45 UTC 2014,1.0,Music
Kona Espresso,Tue Feb 04 08:42:31 UTC 2014,1.0,Coffee
Techmo Super Baseball,Tue Feb 04 08:42:26 UTC 2014,40.0,Video Game
Great Lakes Pale Ale,Mon Feb 03 05:45:46 UTC 2014,4.0,Beer
Techmo Super Baseball,Sun Feb 02 22:44:53 UTC 2014,20.0,Video Game
Weyerbacher IPA,Sun Feb 02 22:44:30 UTC 2014,2.0,Beer
Composing,Sun Feb 02 21:19:53 UTC 2014,1.0,Music
Kona Espresso,Sun Feb 02 21:19:37 UTC 2014,1.0,Coffee
Practicing,Sun Feb 02 00:59:53 UTC 2014,0.5,Music
Weyerbacher IPA,Sun Feb 02 00:59:15 UTC 2014,2.0,Beer
Kona Espresso,Sat Feb 01 20:49:18 UTC 2014,1.0,Coffee
LoL,Sat Feb 01 07:00:00 UTC 2014,60.0,Video Game
Composing,Sat Feb 01 05:00:00 UTC 2014,2.0,Music
Techmo Super Baseball,Sat Feb 01 04:02:29 UTC 2014,45.0,Video Game
Techmo Super Baseball,Sat Feb 01 01:01:00 UTC 2014,40.0,Video Game
Editing,Fri Jan 31 09:39:35 UTC 2014,2.0,Music
LoL,Fri Jan 31 09:39:26 UTC 2014,120.0,Video Game
Plain Bagel,Fri Jan 31 05:55:19 UTC 2014,3.0,Bagel
Cinnamon Bagel,Fri Jan 31 01:20:37 UTC 2014,2.0,Bagel
Plain Bagel,Fri Jan 31 01:20:33 UTC 2014,1.0,Bagel
Editing,Thu Jan 30 18:29:09 UTC 2014,0.75,Music
Kona Espresso,Thu Jan 30 13:02:00 UTC 2014,1.0,Coffee
LoL,Thu Jan 30 07:46:27 UTC 2014,60.0,Video Game
Techmo Super Baseball,Thu Jan 30 07:46:02 UTC 2014,90.0,Video Game
Bells Midwestern Pale Ale,Thu Jan 30 06:42:52 UTC 2014,1.0,Beer
Ten Barrel IPA,Thu Jan 30 06:42:40 UTC 2014,1.0,Beer
Kona Espresso,Wed Jan 29 21:22:22 UTC 2014,1.0,Coffee
Ten Barrel Winter Ale,Wed Jan 29 08:16:53 UTC 2014,2.0,Beer
Smuttynose Robust Porter,Wed Jan 29 04:20:54 UTC 2014,1.0,Beer
Recording,Wed Jan 29 03:00:04 UTC 2014,2.0,Music
LoL,Wed Jan 29 02:59:47 UTC 2014,90.0,Video Game
Legend Brown,Tue Jan 28 23:52:13 UTC 2014,1.0,Beer
LoL,Tue Jan 28 06:22:06 UTC 2014,120.0,Video Game
Mustang American Lager,Tue Jan 28 02:49:35 UTC 2014,1.0,Beer
Techmo Super Baseball,Tue Jan 28 01:24:33 UTC 2014,180.0,Video Game
Cinnamon Bagel,Mon Jan 27 18:50:21 UTC 2014,1.0,Bagel
Basketball,Mon Jan 27 08:24:38 UTC 2014,60.0,Sports
Techmo Super Baseball,Mon Jan 27 08:24:20 UTC 2014,59.0,Video Game
LoL,Mon Jan 27 06:00:00 UTC 2014,150.0,Video Game
Techmo Super Baseball,Mon Jan 27 05:51:21 UTC 2014,1.0,Video Game
Lagunitas Maximus,Mon Jan 27 05:50:57 UTC 2014,1.0,Beer
East Side Big Hop,Mon Jan 27 05:50:38 UTC 2014,1.0,Beer
Live Concert,Mon Jan 27 05:50:23 UTC 2014,2.0,Music
Plain Bagel,Mon Jan 27 05:50:01 UTC 2014,1.0,Bagel
Jamming,Sun Jan 26 20:05:03 UTC 2014,2.5,Music
Cinnamon Bagel,Sun Jan 26 20:04:42 UTC 2014,1.0,Bagel
Plain Bagel,Sun Jan 26 20:04:39 UTC 2014,1.0,Bagel
Kona Espresso,Sun Jan 26 14:30:00 UTC 2014,1.0,Coffee
Legend Brown,Sun Jan 26 14:30:00 UTC 2014,1.0,Beer
LoL,Sun Jan 26 09:36:14 UTC 2014,120.0,Video Game
Plain Bagel,Sun Jan 26 06:49:02 UTC 2014,1.0,Bagel
Recording,Sun Jan 26 06:05:41 UTC 2014,3.0,Music
Kona Espresso,Sun Jan 26 06:02:53 UTC 2014,1.0,Coffee
Techmo Super Baseball,Sun Jan 26 06:00:15 UTC 2014,90.0,Video Game
Ten Barrel Winter Ale,Sun Jan 26 05:59:20 UTC 2014,1.0,Beer
Cinnamon Bagel,Sun Jan 26 03:59:10 UTC 2014,1.0,Bagel
Cinnamon Bagel,Sun Jan 26 03:56:16 UTC 2014,1.0,Bagel
Plain Bagel,Sun Jan 26 03:56:14 UTC 2014,1.0,Bagel
Plain Bagel,Sun Jan 26 01:59:39 UTC 2014,1.0,Bagel
Legend Brown,Sun Jan 26 01:58:27 UTC 2014,1.0,Beer
Plain Bagel,Sun Jan 26 01:57:23 UTC 2014,2.0,Bagel
Cinnamon Bagel,Sun Jan 26 01:56:57 UTC 2014,1.0,Bagel
Editing,Sat Jan 25 02:30:00 UTC 2014,6.0,Music
